timestamp,market_ticker,yes_bid,yes_ask,no_bid,no_ask
2026-05-05 18:37:35,KXBTC15M-26MAY051845-45,0.002,0.009,0.991,0.998
2026-05-05 18:37:36,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:37:37,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:37:38,KXBTC15M-26MAY051845-45,0.002,0.007,0.993,0.998
2026-05-05 18:37:39,KXBTC15M-26MAY051845-45,0.002,0.005,0.995,0.998
2026-05-05 18:37:40,KXBTC15M-26MAY051845-45,0.002,0.005,0.995,0.998
2026-05-05 18:37:41,KXBTC15M-26MAY051845-45,0.002,0.005,0.995,0.998
2026-05-05 18:37:42,KXBTC15M-26MAY051845-45,0.004,0.006,0.994,0.996
2026-05-05 18:37:45,KXBTC15M-26MAY051845-45,0.004,0.006,0.994,0.996
2026-05-05 18:37:46,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:37:47,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:37:48,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:37:50,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:37:52,KXBTC15M-26MAY051845-45,0.004,0.01,0.99,0.996
2026-05-05 18:37:53,KXBTC15M-26MAY051845-45,0.004,0.01,0.99,0.996
2026-05-05 18:37:55,KXBTC15M-26MAY051845-45,0.005,0.01,0.99,0.995
2026-05-05 18:37:56,KXBTC15M-26MAY051845-45,0.004,0.008,0.992,0.996
2026-05-05 18:37:57,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:37:58,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:37:59,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:01,KXBTC15M-26MAY051845-45,0.004,0.008,0.992,0.996
2026-05-05 18:38:02,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:03,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:04,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:06,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:07,KXBTC15M-26MAY051845-45,0.004,0.008,0.992,0.996
2026-05-05 18:38:08,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:10,KXBTC15M-26MAY051845-45,0.004,0.007,0.993,0.996
2026-05-05 18:38:11,KXBTC15M-26MAY051845-45,0.004,0.007,0.993,0.996
2026-05-05 18:38:15,KXBTC15M-26MAY051845-45,0.004,0.007,0.993,0.996
2026-05-05 18:38:16,KXBTC15M-26MAY051845-45,0.004,0.009,0.991,0.996
2026-05-05 18:38:17,KXBTC15M-26MAY051845-45,0.004,0.008,0.992,0.996
2026-05-05 18:38:18,KXBTC15M-26MAY051845-45,0.004,0.008,0.992,0.996
2026-05-05 18:38:19,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:21,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:22,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:24,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:25,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:29,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:30,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:32,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:33,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:34,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:36,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:38,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:39,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:40,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:42,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:43,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:44,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:45,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:47,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:48,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:49,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:51,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:57,KXBTC15M-26MAY051845-45,0.004,0.005,0.995,0.996
2026-05-05 18:38:58,KXBTC15M-26MAY051845-45,0.002,0.004,0.996,0.998
2026-05-05 18:38:59,KXBTC15M-26MAY051845-45,0.003,0.004,0.996,0.997
2026-05-05 18:39:00,KXBTC15M-26MAY051845-45,0.003,0.004,0.996,0.997
2026-05-05 18:39:03,KXBTC15M-26MAY051845-45,0.003,0.004,0.996,0.997
2026-05-05 18:39:04,KXBTC15M-26MAY051845-45,0.003,0.004,0.996,0.997
2026-05-05 18:39:06,KXBTC15M-26MAY051845-45,0.002,0.004,0.996,0.998
2026-05-05 18:39:07,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:39:12,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:39:15,KXBTC15M-26MAY051845-45,0.002,0.005,0.995,0.998
2026-05-05 18:39:16,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:39:17,KXBTC15M-26MAY051845-45,0.002,0.005,0.995,0.998
2026-05-05 18:39:18,KXBTC15M-26MAY051845-45,0.002,0.004,0.996,0.998
2026-05-05 18:39:19,KXBTC15M-26MAY051845-45,0.002,0.004,0.996,0.998
2026-05-05 18:39:20,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:39:21,KXBTC15M-26MAY051845-45,0.002,0.005,0.995,0.998
2026-05-05 18:39:22,KXBTC15M-26MAY051845-45,0.002,0.004,0.996,0.998
2026-05-05 18:39:23,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:24,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:26,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:30,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:32,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:34,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:36,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:39:37,KXBTC15M-26MAY051845-45,0.0,0.001,0.999,1.0
2026-05-05 18:39:38,KXBTC15M-26MAY051845-45,0.0,0.002,0.998,1.0
2026-05-05 18:39:39,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:43,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:48,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:49,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:50,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:54,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:55,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:56,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:39:58,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:00,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:02,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:03,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:05,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:06,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:07,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:10,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:14,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:15,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:18,KXBTC15M-26MAY051845-45,0.001,0.002,0.998,0.999
2026-05-05 18:40:21,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:23,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:24,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:25,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:26,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:27,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:29,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:30,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:32,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:33,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:34,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:35,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:36,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:37,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:43,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:46,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:47,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:48,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:49,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:50,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:51,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:52,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:53,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:54,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:55,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:40:56,KXBTC15M-26MAY051845-45,0.001,0.004,0.996,0.999
2026-05-05 18:40:57,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:40:58,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:40:59,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:41:00,KXBTC15M-26MAY051845-45,0.002,0.003,0.997,0.998
2026-05-05 18:41:03,KXBTC15M-26MAY051845-45,0.002,0.004,0.996,0.998
2026-05-05 18:41:04,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:05,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:06,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:07,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:08,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:09,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:10,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:11,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:12,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:13,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:14,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:15,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:16,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:17,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:18,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:19,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
2026-05-05 18:41:20,KXBTC15M-26MAY051845-45,0.001,0.003,0.997,0.999
