session_number,session_date,session_start_time,session_end_time,market_ticker,starting_balance,ending_balance,session_pnl,session_pnl_percent,trade_number,side,buy_time,buy_price,buy_quantity,buy_cost,buy_order_id,sold,sell_time,sell_price,sell_quantity,sell_proceeds,sell_order_id,exit_type,trade_pnl,trade_pnl_percent,hold_duration_seconds,outcome,emergency_exit,emergency_exit_time,emergency_exit_price,boundary_difference,market_outcome
62,2026-06-13,2026-06-13 13:01:03,2026-06-13 13:14:57,KXETH15M-26JUN131315-15,10.67,10.674,0.0039999999999995595,0.03748828491096119,1,NO,2026-06-13 13:14:25,0.999,4,3.996,abaf3b7a-b9f4-46a2-b8ce-7e3263d39e2b,True,2026-06-13 13:14:57,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,32,WIN,False,,,,NO
63,2026-06-13,2026-06-13 13:16:08,2026-06-13 13:30:00,KXETH15M-26JUN131330-30,10.68,10.684,0.0039999999999995595,0.037453183520595124,1,YES,2026-06-13 13:28:39,0.999,4,3.996,429ffee2-0641-4cd3-93ae-7f248f8e6dcf,True,2026-06-13 13:30:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,81,WIN,False,,,,YES
65,2026-06-13,2026-06-13 13:46:01,2026-06-13 13:59:58,KXETH15M-26JUN131400-00,10.69,10.693999999999999,0.0039999999999995595,0.037418147801679694,1,NO,2026-06-13 13:58:48,0.999,4,3.996,90688e80-73fc-4a39-a1ae-812e2b41a141,True,2026-06-13 13:59:58,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,70,WIN,False,,,,NO
66,2026-06-13,2026-06-13 14:01:08,2026-06-13 14:15:03,KXETH15M-26JUN131415-15,10.69,10.693999999999999,0.0039999999999995595,0.037418147801679694,1,YES,2026-06-13 14:13:26,0.999,4,3.996,8c9fa92e-a3f3-4505-a345-f6785a2442e7,True,2026-06-13 14:15:03,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,97,WIN,False,,,,YES
67,2026-06-13,2026-06-13 14:16:06,2026-06-13 14:30:00,KXETH15M-26JUN131430-30,10.7,10.703999999999999,0.0039999999999995595,0.03738317757008934,1,YES,2026-06-13 14:28:16,0.999,4,3.996,d715d61a-6e97-4f02-b4df-271848b84f99,True,2026-06-13 14:30:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,104,WIN,False,,,,YES
68,2026-06-13,2026-06-13 14:31:08,2026-06-13 14:44:57,KXETH15M-26JUN131445-45,10.71,10.714,0.0039999999999995595,0.037348272642386174,1,YES,2026-06-13 14:44:02,0.999,4,3.996,7ae5bebf-2119-4f86-9844-5ae819f667bf,True,2026-06-13 14:44:57,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,55,WIN,False,,,,YES
69,2026-06-13,2026-06-13 14:46:14,2026-06-13 14:59:59,KXETH15M-26JUN131500-00,10.72,10.724,0.0039999999999995595,0.037313432835816784,1,NO,2026-06-13 14:57:56,0.999,4,3.996,90d9ab5e-14b9-4330-974e-3de393e36fd9,True,2026-06-13 14:59:59,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,123,WIN,False,,,,NO
1,2026-06-13,2026-06-13 15:57:44,2026-06-13 15:59:59,KXETH15M-26JUN131600-00,10.91,10.914,0.0039999999999995595,0.036663611365715484,1,NO,2026-06-13 15:59:34,0.999,4,3.996,3211c9dc-cd20-4bb2-a65b-4acb0f3d99fa,True,2026-06-13 15:59:59,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,25,WIN,False,,,,NO
2,2026-06-13,2026-06-13 16:01:09,2026-06-13 16:15:00,KXETH15M-26JUN131615-15,10.91,10.914,0.0039999999999995595,0.036663611365715484,1,NO,2026-06-13 16:14:02,0.999,4,3.996,e912d8c8-58fe-49a0-adee-88a7291a8a56,True,2026-06-13 16:15:00,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,58,WIN,False,,,,NO
3,2026-06-13,2026-06-13 16:16:14,2026-06-13 16:29:56,KXETH15M-26JUN131630-30,10.92,10.924,0.0039999999999995595,0.0366300366300326,1,NO,2026-06-13 16:29:33,0.999,4,3.996,26bfee4e-b61e-4bdb-8eae-6e263e110ffa,True,2026-06-13 16:29:56,1.0,4,4.0,,SETTLEMENT,0.0040000000000000036,0.10010010010010019,23,WIN,False,,,,NO
